system:index,Latitude,Longitude,Year,.geo
0000000000000000191b_0,5.99510384504907,-1.75387397995601,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000144f_0,6.053005472192093,-1.9323634590148744,15,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001743_0,6.048630167824688,-1.9152956047510703,15,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000144c_0,6.053007071252127,-1.933176628575457,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001927_0,5.994019160977942,-1.7541474526589595,16,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000003561_0,6.459537081347902,-2.276878127111475,9,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000002582_0,5.17788695669261,-1.2019438795783677,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001450_0,6.053004938901453,-1.9320924025433124,15,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000191e_0,5.994832519973926,-1.7538745956526476,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000002586_0,5.177615693993788,-1.201944646102193,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001730_0,6.04889988326874,-1.9144819053296616,15,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001451_0,6.053004405475496,-1.9318213460960776,16,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001424_0,6.053273077827083,-1.9304655306041023,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001452_0,6.053003871914225,-1.931550289673176,15,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000013da_0,6.053819497223127,-1.932361860917834,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000144b_0,6.053007604001509,-1.9334476851442628,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001453_0,6.05300333821764,-1.931279233274613,15,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000013de_0,6.053815226530799,-1.9301934065824864,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001744_0,6.048629626400724,-1.9150245519860487,15,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001418_0,6.053279478415636,-1.9337182097385504,16,"{""type"":""MultiPoint"",""coordinates"":[]}"
